"","unidad","udad_anio","year","loc","sexo","edad","educ","nombre","jefe","desemp","size","tparcial","multiemp","privado","publico","cpsl","cpcl","profytec","oficina","manual","indust","comercio","sfinan","sperson","subemp","precario","ingreso","grupos_agnes_single_5","grupos_agnes_single_13","grupos_agnes_complete_10","grupos_agnes_complete_17","grupos_agnes_complete_3","grupos_agnes_complete_8","grupos_agnes_average_3","grupos_agnes_average_7","grupos_agnes_average_13","grupos_agnes_ward_3","grupos_agnes_ward_4","grupos_agnes_ward_5","grupos_agnes_sing_cl_10","grupos_agnes_mcl_9","grupos_agnes_mal_10"
"56","u30","IM131996",1996,"I","M","1","3","IM13",2.93,15.12,27.01,54.6,14.94,40.23,43.68,1.15,12.64,63.22,17.82,1.15,4.6,12.64,13.79,2.3,7.47,10.92,3.04,"4","7","7","8","2","6","3","6","8","2","2","2","7","4","7"
"57","u19","IH111996",1996,"I","H","1","1","IH11",33.59,9.57,39.74,7.78,2.16,67.82,12.1,10.58,8.42,0.65,1.94,50.97,18.14,15.33,0.43,5.83,7.78,47.08,1.54,"1","1","8","9","1","1","1","1","9","1","1","5","8","2","8"
"58","u9","MH331996",1996,"M","H","3","3","MH33",94.64,0.89,34.53,21.92,33.93,29.43,25.23,4.8,22.52,49.25,5.71,4.8,9.31,13.51,24.02,2.7,4.2,0.9,9.51,"3","6","6","7","2","5","3","5","7","3","4","4","6","6","6"
"59","u2","MH121996",1996,"M","H","1","2","MH12",21.8,14.58,28.48,10.37,6.88,77.79,6.36,6.18,6.88,3.48,18.73,43.21,25.7,27.18,6.62,7.32,7.32,18.82,2.65,"1","1","8","9","1","1","1","1","9","1","1","5","8","2","8"
"60","u13","MM211996",1996,"M","M","2","1","MM21",20.06,14.35,60.36,26.49,9.55,69.55,7.39,3.42,14.77,2.7,5.23,19.28,20,15.32,1.08,45.41,15.32,33.15,2.22,"2","4","5","6","3","4","2","3","4","2","3","3","5","5","4"
"61","u4","MH211996",1996,"M","H","2","1","MH21",80.22,10.13,38.72,9.38,8.56,56.52,13.72,12.23,13.32,0.82,5.3,52.99,20.24,21.33,2.04,8.97,9.24,21.2,2.91,"1","1","8","9","1","1","1","1","1","1","1","1","8","1","1"
"62","u33","IM231996",1996,"I","M","2","3","IM23",13.99,2.56,17.7,51.67,26.79,20.81,63.64,0.96,10.29,77.27,11.72,0.48,2.39,5.98,6.46,1.44,4.31,0.96,4.27,"3","6","7","8","2","6","3","6","8","3","4","4","7","7","7"
"63","u6","MH231996",1996,"M","H","2","3","MH23",82.27,1.99,24.75,13.17,34.88,45.3,24.31,3.33,15.48,50.8,13.46,5.93,13.75,14.62,19.54,1.59,5.93,1.3,7.35,"3","6","6","7","2","5","3","5","7","3","4","4","6","6","6"
"64","u25","IH311996",1996,"I","H","3","1","IH31",91.71,4.6,51.53,18.76,3.87,33.65,21.9,16.28,22.85,1.68,4.31,40.44,13.36,16.35,1.75,10.15,4.82,11.9,2.31,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"65","u20","IH121996",1996,"I","H","1","2","IH12",24.09,14.17,37.34,7.8,3.67,66.97,13.03,6.42,10.92,3.49,11.65,49.27,22.02,22.39,3.85,8.17,6.61,31.01,1.93,"1","1","8","9","1","1","1","1","9","1","1","5","8","2","8"
"66","u11","MM121996",1996,"M","M","1","2","MM12",6.1,20.11,30.91,18.38,5.49,79.59,8.71,1.67,7.4,9.43,30.55,11.58,14.8,33.65,9.67,17.18,9.9,21.48,2.28,"1","3","3","3","1","2","2","2","3","2","2","2","3","2","3"
"67","u35","IM321996",1996,"I","M","3","2","IM32",28.66,4.18,59.81,41.12,7.79,34.58,20.25,4.05,28.35,11.53,19.94,14.64,17.13,24.61,2.18,19.63,3.12,14.64,2.21,"1","2","2","2","1","1","1","1","2","2","2","2","2","1","2"
"68","u23","IH221996",1996,"I","H","2","2","IH22",79.81,4.06,38.51,8.05,11.17,38.98,26.98,8.35,17.81,4.17,11.7,40.86,20.58,19.11,4.06,7,4.88,8.76,2.96,"1","1","1","1","1","1","1","1","1","1","1","1","1","3","1"
"69","u14","MM221996",1996,"M","M","2","2","MM22",19.23,13.32,37.76,24.19,9.26,56.86,18.81,3.3,14.29,9.91,29.22,14,17.95,21.54,6.25,19.31,9.69,13.28,3.07,"1","2","3","3","1","2","1","1","2","2","2","2","3","4","2"
"70","u26","IH321996",1996,"I","H","3","2","IH32",93.89,3.32,44.4,15.52,7.04,29.96,28.16,6.86,21.84,6.14,14.26,30.69,19.68,18.05,9.93,7.04,3.25,4.69,3.22,"1","1","1","1","1","1","1","1","1","1","1","1","1","3","1"
