"jefe"	 "desemp"	 "size"	 "tparcial"	 "multiemp"	 "privado"	 "publico"	 "cpsl"	 "cpcl"	 "profytec"	 "oficina"	 "manual"	 "indust"	 "comercio"	 "sfinan"	 "sperson"	 "subemp"	 "precario"	 "ingreso"	 "Comp.1"	 "Comp.2"	 "norma"	 "Cos 1"	 "Cos 2"
77,57	 7,83	 41,98	 17,64	 7,74	 41,32	 26,6	 10,57	 15,09	 5,47	 15	 41,98	 15,38	 21,51	 2,74	 2,64	 6,13	 37,45	 2,18	 24,7283332637136	 -34,1463191219745	 2285,77235001235	 0,267520283022926	 0,777619685342421
9,71	 37,71	 80,73	 97,25	 3,67	 80,73	 0	 11,93	 6,42	 0	 0,92	 10,09	 12,84	 7,34	 0,92	 0	 25,69	 80,73	 1,18	 -93,5449961831426	 -3,51331541323068	 13260,5532494568	 0,659902052824427	 0,660832887681815
11,99	 29,56	 38,49	 63,83	 3,87	 80,46	 6,58	 4,64	 6,19	 7,74	 29,59	 6,19	 12,38	 34,04	 1,74	 8,7	 17,99	 56,67	 1,71	 -63,4310629443114	 13,9664472454887	 5469,26030445679	 0,735657021657302	 0,771322109402727
24,61	 23,28	 29,25	 50,94	 8,96	 64,47	 14,47	 9,43	 7,7	 28,93	 22,17	 25,31	 15,57	 19,18	 4,56	 4,72	 14,15	 34,91	 2,51	 -23,3187375864066	 18,4028669422892	 1724,75338945679	 0,315270302379257	 0,51162620680352
21,85	 21,08	 77,39	 53,61	 6,24	 68,62	 5,26	 6,24	 15,2	 0,97	 2,14	 9,16	 9,55	 15,59	 0,39	 5,26	 19,88	 65,11	 1,34	 -58,3423716366245	 -10,5486831105277	 5050,8106805679	 0,673918018998742	 0,695949079437108
5,41	 28,53	 37,39	 68,49	 11,76	 49,16	 36,55	 5,46	 7,98	 44,54	 16,39	 4,2	 3,78	 17,23	 1,68	 13,45	 20,59	 43,7	 1,92	 -35,2149296869084	 52,5930035457308	 5251,75590890123	 0,236128886103039	 0,762814449930006
12,03	 27,63	 24,1	 66,92	 11,23	 67,37	 19,16	 4,04	 7,19	 37,13	 37,43	 2,1	 9,13	 15,12	 3,44	 13,47	 19,31	 33,68	 2,52	 -35,515667304271	 48,6963274681286	 4861,31527279012	 0,259469413787622	 0,747265858950539
27,24	 18,89	 42,69	 37,01	 3,43	 62,39	 14,33	 10,9	 8,06	 4,48	 6,87	 40,75	 17,46	 23,88	 0,9	 0,75	 9,4	 60,15	 1,46	 -35,2901483965708	 -18,3341754636079	 2474,39982612346	 0,503311777144399	 0,639159664935832
94,27	 6,92	 52,56	 20,77	 7,44	 25,13	 25,13	 11,28	 26,15	 10,51	 18,46	 41,54	 10,51	 21,03	 2,05	 2,05	 9,49	 21,28	 2,53	 47,169712135068	 -35,6202445092853	 4308,07676834568	 0,516467524268278	 0,810984518074889
23,09	 24,49	 78,31	 61,57	 6,2	 63,02	 6,2	 10,33	 16,12	 0,83	 4,13	 10,33	 10,33	 15,5	 0,21	 4,55	 22,31	 61,36	 1,09	 -56,6087392195178	 -8,98544326328008	 5157,53339501235	 0,621333709467081	 0,636988128828806
91,54	 9,48	 56,42	 25,68	 2,48	 37,5	 17,68	 21,96	 19,48	 2,82	 3,6	 53,94	 13,51	 17,57	 0,11	 1,24	 13,4	 34,91	 1,41	 28,905699646649	 -53,9317688604016	 4578,12601279012	 0,182506875024409	 0,817840128037933
18,07	 9,98	 33,27	 38,03	 17,08	 36,97	 40,67	 4,4	 14,79	 53,35	 14,44	 6,16	 6,34	 10,39	 1,76	 19,01	 17,25	 30,11	 2,82	 -0,653364536520678	 50,4086250964357	 3330,11460945679	 0,000128189347108541	 0,76317384456181
86,82	 7,53	 45,37	 20,56	 6,67	 39,44	 18,33	 9,63	 20,93	 16,11	 16,85	 30	 15,74	 20,56	 4,44	 3,33	 11,11	 19,26	 3,03	 38,1586230258459	 -25,2073773528159	 2411,39678667901	 0,603832815599768	 0,867336473113696
7,79	 27,35	 34,62	 59,31	 4,45	 82,59	 6,88	 3,24	 5,47	 6,68	 25,51	 7,49	 15,79	 31,78	 1,62	 6,48	 16,19	 60,93	 1,39	 -65,9796627380761	 13,1323812660936	 5634,66321223457	 0,772595580438223	 0,803202456345834
91,71	 6,45	 48,28	 17,73	 5,42	 31,28	 24,88	 11,58	 21,92	 11,33	 14,78	 39,9	 12,32	 23,15	 1,48	 2,46	 10,59	 27,09	 2,13	 41,5513542159136	 -35,9729469477347	 3568,88354834568	 0,483768947287908	 0,846362148936188
29,78	 18,58	 44,82	 40,29	 3,56	 68,28	 12,3	 8,74	 9,06	 5,5	 5,99	 34,95	 15,53	 27,67	 0,81	 1,46	 12,62	 63,43	 1,22	 -39,4756746138904	 -17,8951582884385	 2675,5567255679	 0,58243163799526	 0,702121378492276
5,48	 34,58	 39,65	 89,87	 9,69	 50,22	 30,84	 8,37	 10,57	 43,61	 16,74	 2,2	 6,17	 18,5	 1,32	 12,33	 25,55	 45,37	 1,65	 -45,3165334841178	 54,1403956614581	 7589,07892001235	 0,270597819400965	 0,656834736064162
27,85	 9,39	 28,65	 41,66	 25,66	 45,9	 32,75	 2,99	 15,3	 52,92	 23,64	 4,73	 8,83	 8,48	 4,87	 22,67	 17,39	 19,54	 3,65	 5,96348688483783	 50,5691746603327	 3052,71639667901	 0,0116496821861085	 0,849343425571249
70,56	 11,68	 51,15	 39,27	 5,17	 46,74	 13,98	 20,11	 16,86	 2,87	 2,11	 53,64	 17,43	 20,31	 0,77	 0,57	 18,77	 36,02	 1,62	 7,89565328376292	 -41,9007287981343	 2830,02605167901	 0,02202853953956	 0,64240129998577
47,86	 8,4	 35,29	 36,85	 17,99	 36,85	 32,7	 4,15	 19,38	 53,46	 19,38	 7,09	 9,69	 7,44	 3,11	 22,66	 18,17	 12,63	 3,75	 24,4693996789241	 37,8969896560128	 2702,73839890123	 0,221535136693343	 0,752915393684476
7,08	 31,54	 58,43	 70,56	 2,92	 75,06	 7,19	 6,07	 8,09	 4,04	 15,06	 7,87	 13,03	 29,66	 0,67	 7,19	 16,4	 70,56	 1,06	 -76,300330813345	 5,59439622694301	 6972,53771112346	 0,834952885652855	 0,839441533895532
19,79	 19,32	 55,72	 46,38	 7,01	 53,86	 19,74	 6,89	 14,84	 5,84	 22,66	 8,76	 9,7	 20,21	 2,1	 12,62	 17,41	 48,83	 1,42	 -38,3147862736882	 7,66960591192884	 2099,70597223457	 0,699156389804469	 0,727171195506857
26,71	 25,98	 33,77	 58,65	 10,21	 63,76	 12,69	 6,59	 13,34	 33,28	 18,62	 21,75	 11,04	 23,23	 2,47	 4,78	 16,14	 36,08	 2,09	 -25,0340884937745	 21,1867135640578	 2084,64464667901	 0,30062945630207	 0,51595480317139
87,71	 8,6	 56,13	 28,57	 2,86	 42,52	 12,27	 17,14	 22,35	 3,03	 3,03	 47,39	 13,78	 23,03	 1,68	 2,18	 16,13	 29,08	 1,92	 24,975560636827	 -48,7971898463569	 3628,75472279012	 0,17189881289199	 0,828092443711584
32,98	 18,23	 59,34	 43,93	 2,3	 61,64	 7,87	 20,66	 8,2	 1,31	 0,66	 47,54	 12,46	 19,02	 0	 0	 14,43	 60,33	 1,05	 -37,6381698733217	 -31,0131333905702	 3529,96621223457	 0,40131597478273	 0,673787263422189
22,85	 24,63	 51,97	 59,84	 7,09	 56,69	 12,2	 12,99	 12,99	 20,08	 8,27	 44,09	 17,72	 22,83	 0,79	 1,97	 20,47	 52,36	 1,43	 -37,7023790325512	 -4,49202990035336	 3141,99791445679	 0,45240939791009	 0,458831532225592
23,85	 18,42	 42,34	 46,37	 8,06	 65,63	 14,92	 4,03	 10,99	 8,17	 28,93	 11,19	 15,22	 18,75	 3,02	 14,01	 19,56	 42,84	 1,99	 -35,6073938393356	 9,19919665678293	 1787,66674390123	 0,709240970306716	 0,756579334360794
