id;gen;plan;cred1;cred1y2;cred1.2y3;cred1234;nac_lug;otros_univ;ocup_rel;sit_labNT;horas;sexto;edad;edad_t;Xfem;Xhijos;Xocup;XeduP;XeduM;XocuP;XocuM;tratamiento;inst;EDA;MC.EDA;carr04;carr11;carr12;carr14;fecing4;fecing11;fecing12;fecing14;fecingEDA;julio;EDAoMCEDA;Xnac_lug;Xhoras;XeduM_num;XeduP_num;Xedu_H;Xsexto;cred1_prop;cred1_2012;cred1y2_prop;cred1y2_2012;cred1.2y3_prop;cred1.2y3_2012;cred1234_prop;cred1234_2012
208;2013;3. Plan 12   ;0;0;10;10;Montevideo;No posee;No está relacionada;No corresponde;Trabaja de 31 a 40 hrs semanales;Montevideo Privada;26;t23.26;0;0;1;1;1;Asalariado;No trabaja;1;194;0;1;0;0;1;0;NA;NA;5/3/2013;NA;NA;0;1;Montevideo;Trabaja mas de 30 horas;1;1;1;Montevideo Privada;0;0;0;0;0.037037037037037;10;0.0277777777777778;10
211;2012;3. Plan 12   ;0;0;0;0;Montevideo;No posee;No corresponde;Busca trabajo por primera vez;No corresponde;Montevideo Privada;19;t17.19;1;0;0;1;2;Asalariado;Cuenta propia;1;13;0;0;0;0;1;0;NA;NA;8/2/2012;NA;NA;0;0;Montevideo;No trabaja;2;1;2;Montevideo Privada;0;0;0;0;0;0;0;0
212;2013;3. Plan 12   ;0;0;0;0;Cerro Largo;No posee;No corresponde;No trabajó y no busca trabajo;No corresponde;Interior Publica;19;t17.19;0;0;0;1;2;Asalariado;Asalariado;1;99;0;0;0;1;1;1;NA;22/2/2013;22/2/2013;12/3/2016;NA;0;0;Interior;No trabaja;2;1;2;Interior Publica;0;0;0;0;0;0;0;0
215;2012;3. Plan 12   ;60;80;90;90;Montevideo;No posee;No corresponde;No trabajó y no busca trabajo;No corresponde;Montevideo Privada;18;t17.19;1;0;0;3;3;Dirección;Asalariado;1;15;0;0;0;1;1;0;NA;7/2/2012;7/2/2012;NA;NA;0;0;Montevideo;No trabaja;3;3;3;Montevideo Privada;0.666666666666667;60;0.444444444444444;80;0.333333333333333;90;0.25;90
216;2012;3. Plan 12   ;90;150;200;220;Montevideo;No posee;No corresponde;No trabajó y no busca trabajo;No corresponde;Montevideo Privada;18;t17.19;1;0;0;1;3;Asalariado;Asalariado;1;15;0;0;0;0;1;1;NA;NA;13/2/2012;13/2/2012;NA;0;0;Montevideo;No trabaja;3;1;3;Montevideo Privada;1;90;0.833333333333333;150;0.740740740740741;200;0.611111111111111;220
217;2013;3. Plan 12   ;70;80;80;100;Montevideo;No posee;No corresponde;No trabajó y no busca trabajo;No corresponde;Montevideo Publica;19;t17.19;0;0;0;1;1;Asalariado;Cuenta propia;1;83;0;0;0;0;1;0;NA;NA;4/3/2013;NA;NA;0;0;Montevideo;No trabaja;1;1;1;Montevideo Publica;0.777777777777778;70;0.444444444444444;80;0.296296296296296;80;0.277777777777778;100
218;2012;3. Plan 12   ;0;10;10;10;Montevideo;No posee;No corresponde;Busca trabajo por primera vez;No corresponde;Montevideo Publica;19;t17.19;0;0;0;2;1;Asalariado;Asalariado;1;62;1;0;0;0;1;0;NA;NA;15/2/2012;NA;29/6/2015;0;1;Montevideo;No trabaja;1;2;2;Montevideo Publica;0;0;0.0555555555555556;10;0.037037037037037;10;0.0277777777777778;10
219;2012;3. Plan 12   ;10;10;10;10;Montevideo;No posee;No corresponde;Busca trabajo por primera vez;No corresponde;Montevideo Privada;18;t17.19;1;0;0;1;1;Asalariado;Asalariado;1;204;0;0;0;1;1;0;NA;7/2/2012;7/2/2012;NA;NA;0;0;Montevideo;No trabaja;1;1;1;Montevideo Privada;0.111111111111111;10;0.0555555555555556;10;0.037037037037037;10;0.0277777777777778;10
221;2013;3. Plan 12   ;20;70;90;110;Montevideo;No posee;No corresponde;No trabajó y no busca trabajo;No corresponde;Montevideo Privada;20;t20.22;0;0;0;3;3;Dirección;Cuenta propia;1;43;0;0;0;0;1;1;NA;NA;18/2/2013;18/2/2013;NA;0;0;Montevideo;No trabaja;3;3;3;Montevideo Privada;0.222222222222222;20;0.388888888888889;70;0.333333333333333;90;0.305555555555556;110
222;2012;3. Plan 12   ;50;80;110;150;Montevideo;No posee;No corresponde;No trabajó y no busca trabajo;No corresponde;Interior Publica;18;t17.19;1;0;0;3;1;Asalariado;No trabaja;1;129;0;0;0;0;1;0;NA;NA;16/2/2012;NA;NA;0;0;Montevideo;No trabaja;1;3;3;Interior Publica;0.555555555555556;50;0.444444444444444;80;0.407407407407407;110;0.416666666666667;150
